ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
251,86,2023-01-17 08:20:41+00:00,Hemoglobin,,Heme is synthesized from:,Succinyl-CoA and glycine,Heme biosynthesis is initiated by the condensation of succinyl-CoA catalyzed by mitochondrial and aminolevulinate synthase.,Succinyl-CoA and glycine,Succinyl-CoA and glutamine,Aminolevulinate and Glycine,Aminolevulinate and Glutamine
253,87,2023-01-17 08:29:34+00:00,RBC,,What are the two supplements needed for RBC maturation?,Vit. B12 and folic acid,Vit. B12 and folic acid are essential for DNA synthesis that leads to nuclear maturation and cell proliferation of erythroblasts. Deficiency of these can produce macrocytes (large RBCs).,Vit. K and folic acid,Vit. B12 and folic acid,Vit. D and Vit. K,Vit. B6 and Vit. B12
255,88,2023-01-18 00:37:41+00:00,Upper Limbs,,Carpal tunnel syndrome involves the compression of which nerve?,Median nerve,"Carpal tunnel syndrome is caused by pressure on the median nerve.  When the median nerve is compressed, symptoms can include numbness, tingling, and weakness in the hand and arm.",Radial nerve,Ulnar nerve,Median nerve,Musculocutaneous nerve
258,89,2023-01-18 00:45:02+00:00,Vitamins,,This can be prevented by taking this vitamin.,B9,"All people capable of becoming pregnant must consume 400 mcg of folic acid (B9) daily to prevent neural tube defects, like anencephaly and spina bifida (shown here).",B3,B6,B9,B12
261,90,2023-01-18 00:52:20+00:00,Lower Limbs,,Injury or fracture in this area will potentially damage this nerve.,Common peroneal nerve,The common peroneal nerve is most vulnerable to injury as it passes around the fibular neck. Therefore it is most susceptible to injury at the lateral aspect of the knee.,Sciatic nerve,Common peroneal nerve,Tibial nerve,Femoral nerve
264,91,2023-01-18 01:04:49+00:00,Blood,,This cell is known to ?,Increase during allergic reactions,"High number of eosinophils most often indicates a parasitic infection, an allergic reaction, or cancer. B - macrophage, C - B cells, D - T cells",Increase during allergic reactions,Phagocytose bacteria,Produce antibodies,Kill virus-infected cells
267,92,2023-01-18 01:16:19+00:00,"Cardiovascular System, Head and Neck",,Which of the following can cause this?,Superior vena cava obstruction,"Jugular vein distention:increase pressure of SVC causes EJV to bulge.Cause: Right heart failure,pulmonary hypertension,tricuspid valve stenosis,blocked SVC,constrictive pericarditis,cardiac tamponade",Inferior vena cava obstruction,Aorta obstruction,Superior vena cava obstruction,Pulmonary vein obstruction
270,93,2023-01-19 00:47:36+00:00,Head and Neck,,Which is which?,"1 - Central Palsy, 2 - Peripheral Palsy",Peripheral facial palsy: all facial muscles ipsilateral to side of CN 7 involvement. Central palsy: lower facial muscles contralateral to lesion in brain stem above pons & cerebral hemisphere,"1 - Peripheral Palsy, 2 - Central Palsy","1 - Central Palsy, 2 - Peripheral Palsy",,
272,94,2023-01-19 00:53:59+00:00,Thorax,,Which of the following is not the usual referred pain for heart attack?,Legs,"Chest discomfort pressure, squeezing, fullness or pain. Pain in one or both arms, the back, neck, jaw or stomach.
Shortness of breath, breaking out in a cold sweat, nausea or lightheadedness.",Neck,Back,Arms,Legs
274,95,2023-01-19 01:10:44+00:00,Lower Limbs,,Tibial fractures are usually ?,Open fractures,"Because tibia is a subcutaneous bone, tibial fractures are frequently open fractures. Open tibial fractures often resulted in amputation, sepsis, or death due to complication of infection & nonunion.",Open fractures,Closed fractures,,
276,96,2023-01-19 01:22:21+00:00,Hormones,,Which of the following does not describe correctly the difference between type 1 and type 2 diabetes?,"Type 1 - symptoms usually appear at a later age, Type 2 - symptoms appear fast","The symptoms for type 1 appear more quickly. The peak occurs in between 4 and 7 years old and between 10 and 14 years old.
Type 2 symptoms can be easier to miss because they appear more slowly.",Type 1 - beta cells are being attacked Type 2 - not enough insulin produced/ does not work properly,"Type 1 - symptoms usually appear at a later age, Type 2 - symptoms appear fast","Type 1 - managed with insulin shots Type 2 - managed with exercise, diet, and medications","Type 1 - autoimmune condition, Type 2 - weight and lifestyle are risk factors"
279,97,2023-01-19 01:31:08+00:00,Upper Limbs,,Number 2 becomes Number 3 when crossing this border.,Teres major,Axillary artery (2) commences from subclavian artery (1) at outer border of first rib and terminates when it becomes brachial artery (3) at outer border of the teres major muscle. 4-radial 5-ulnar,1st rib,2nd rib,Teres major,Teres minor
286,98,2023-01-20 00:43:30+00:00,Upper Limbs,,Which of the following muscles is not always present?,Blue,"The palmaris longus is a degenerating weak flexor muscle in the anterior of the forearm. Its absence across the world ranges between 1.5% and 63.9%. Red - FCU, Green - FCR, Yellow - Pronator Teres",Red,Blue,Yellow,Green
288,99,2023-01-20 01:02:03+00:00,Lower Limbs,,Which of the following does not belong to the group?,Vastus lateralis,"The obturator nerve (L2–L4) supplies the pectineus; adductor (longus, brevis, and magnus); gracilis; and external obturator muscles. The vastus lateralis muscle is innervated by the femoral nerve.",Pectineus,Gracilis,Vastus lateralis,Adductor longus
290,100,2023-01-20 01:12:46+00:00,Head and Neck,,Where do you make an incision for emergency cricothyrotomy?,Cricothyroid membrane,"Cricothyrotomy is performed by inserting a tube through an incision in the cricothyroid membrane. This is final step in emergency airway management in CICO scenario (Cannot Intubate, Cannot Oxygenate)",Laryngeal prominence of thyroid cartilage,Thyroid cartilage,Cricothyroid membrane,Cricoid cartilage
293,101,2023-01-21 01:32:55+00:00,Imaging,,Which is which?,"1 - T1 MRI, 2 - T2 MRI","T1 images – 1 tissue type is bright – FAT
T2 images – 2 tissue types are bright – FAT and WATER","1 - T1 MRI, 2 - T2 MRI","1 - T2 MRI, 2 - T1 MRI",,
296,102,2023-01-21 01:38:48+00:00,Epithelium,,Where is this epithelium found?,Ureter,"The transitional epithelium, also known as the urothelium, lines the urethra, ureters, and urinary bladder. Cells that are more cuboidal in a relaxed state but more squamous when stretched.",Trachea,Esophagus,Ureter,Fingertips
298,103,2023-01-21 02:02:10+00:00,Special Senses,,"In the Weber Test, the patient heard the sound better at the unaffected right ear. The Rinne test was positive. Which part of the left ear might be damaged?",Inner ear,"Sensorineural hearing loss: sound perceived louder in unaffected ear, which has better cochlea in Weber test. Normal/positive Rinne on affected ear. SNHL caused by damage to inner ear/auditory nerve.",Outer ear,Middle ear,Inner ear,
300,104,2023-01-21 02:07:12+00:00,Thorax,,"In most tuberculosis cases, where does the infection usually develop?",Apex of lungs,"A high oxygen pressure induced a higher bacillary growth than a low oxygen pressure, thus explaining why most cases of lung TB develop at the apex of the lungs, where oxygen concentrations are high.",Apex of lungs,Hilum of lungs,Base of lungs,Fissures of lungs
302,105,2023-01-21 02:31:28+00:00,Biomolecules,,Which gives the highest amount energy?,Fats,"Fat provides the most energy of all the macronutrients, at a whopping 9 calories per gram.",Carbohydrates,Protein,Fats,
307,106,2023-01-22 23:31:21+00:00,Upper Limb,,Damage to which space could lead to decreased sensation at the lateral aspect of the arm?,Quadrangular Space (QS),"QS contents:
-axillary nerve 
passes through the quadrilateral space on its path to innervate the teres minor and deltoid and provide sensation to the lateral arm -posterior humeral circumflex artery",Quadrangular Space (QS),Triangular Space (TS),Triangular Interval (Ti),
309,107,2023-01-22 23:36:18+00:00,Head and Neck,,Which of the choices describe the looping position of the recurrent laryngeal nerve correctly?,"Right - subclavian artery, Left - aortic arch","Right and left nerves are not symmetrical, with the left looping under the aortic arch, and right looping under the right subclavian artery then traveling upwards. They both travel alongside trachea.","Right - aortic arch, Left - subclavian artery","Right - R subclavian artery, Left - L subclavian artery","Right - subclavian artery, Left - aortic arch","Right - brachiocephalic trunk, Left - aortic arch"
312,108,2023-01-22 23:51:37+00:00,Lower Limb,,Which nerve damage will not lead to this?,Superficial peroneal nerve lesion,"A lesion of L5 root, lumbar plexus, sciatic nerve, common peroneal, or deep peroneal nerve can potentially lead to foot drop due to weakness of the muscles in the foot that assist in dorsiflexion. ",L5 root lesion,Lumbar plexus lesion,Sciatic nerve lesion,Common peroneal nerve lesion
315,109,2023-01-23 00:01:39+00:00,Thorax,,Which is not part of the symptoms of this condition?,Atrial septal defect,"Tetralogy of Fallot: ventricular septal defect, pulmonary stenosis, a misplaced aorta and a thickened right ventricular wall (right ventricular hypertrophy). Boot-shaped heart is a radiologic sign.",Atrial septal defect,Ventricular septal defect,Pulmonary stenosis,Override aorta
317,110,2023-01-23 00:10:05+00:00,Immune System,,Which correctly describes active immunity?,A patient is immune to polio due to polio vaccine.,Active immunity is a disease resistance that results from the protection of proteins called antibodies. Active immunity is created by our own immune system. Vaccines provide active immunity to disease,A newborn baby acquires immunity from the mother through the placenta.,A patient given with antibody-containing blood products.,A patient receives immediate protection but only lasts a few weeks or months.,A patient is immune to polio due to polio vaccine.
324,111,2023-01-24 00:49:39+00:00,Upper Limbs,,A medical student rushes to class and accidentally bumped their elbow and felt a tingling in their fingers. What nerve was compressed?,Ulnar nerve,"If you've hit your elbow hard and felt a tingling to your fingers, you've compressed your ulnar nerve. Whenever you bend your elbow, you're forcing the nerve to stretch around the bones in the joint.",Radial nerve,Ulnar nerve,Median nerve,Musculocutaneous nerve
326,112,2023-01-24 00:56:08+00:00,Head and Neck,,Which facial muscle is not innervated by CN VII?,Masseter,The masseter is primarily responsible for the elevation of the mandible and some protraction of the mandible. It receives its motor innervation from the mandibular division of the trigeminal nerve.,Frontalis,Orbicularis oculi,Nasalis,Buccinator
329,113,2023-01-24 01:05:23+00:00,Neuroanatomy,,Occlusion of this artery can lead to locked-in syndrome.,2,"Locked-in syndrome is a consequence of basilar artery occlusion,characterized by quadriplegia and anarthria. This is associated with mid-basilar occlusion, leading to infarction of basis pontis.",2,4,6,8
332,114,2023-01-24 01:20:08+00:00,Cell Cycle,,This karyotype is an example of?,Aneuploidy,"Addition of all/part of chromosome (aneuploidy), Loss of entire set chromosomes (monoploidy), gain one/more complete sets of chromosomes (euploidy). Down Syndrome - chromosomal aneuploidy - trisomy 21",Euploidy,Aneuploidy,Polyploidy,Monoploidy
337,115,2023-01-25 01:03:35+00:00,Thorax,,Which of the following is enlarged when this sign is present?,Left Ventricle,"The Hoffman-Rigler sign is a sign of left ventricular enlargement inferred from the distance between the IVC and LV.​ On a lateral chest radiograph, if the distance exceeds 1.8 cm between them.",Superior Vena Cava,Right Ventricle,Inferior Vena Cava,Left Ventricle
339,116,2023-01-25 01:08:09+00:00,Back and Spinal Cord,,Which is not an atypical vertebrae?,C6,"The atlas (C1), axis (C2) and vertebra prominens (C7) are considered atypical cervical vertebrae. C1 lacks both a vertebral body and a spinous process. C2 with dens. C7 has vertebra prominence.",C1,C2,C6,C7
341,117,2023-01-25 01:12:26+00:00,Vitamins,,Which is not an effect of vitamin C deficiency?,Weak bones,"Vitamin C deficiency can lead to a disease called scurvy, which causes anemia, bleeding gums, bruising and poor wound healing. Vitamin D deficiency can lead to a loss of bone density. Go take Vit C!",Poor wound healing,Anemia,Weak bones,Bleeding gums
343,118,2023-01-26 01:05:45+00:00,Head and Neck,,Which is not enclosed in the carotid sheath?,External jugular vein,"Common carotid artery (CC), internal carotid artery, internal jugular vein (IV) vagus nerve (CN X) : ‘I See 10CC’s in the IV’",Common carotid artery,Internal carotid artery,Internal jugular vein,External jugular vein
346,119,2023-01-26 01:16:10+00:00,Head and Neck,,You should not pop pimples within this area because infection could spread to your brain. Which nerve will not be affected if the infection spreads?,CN V3,"By spread of infection through the dangerous area of face which enters the cavernous sinus these nerves are affected. 
O: CN 3
T: CN 4 O: ophthalmic CN 5 M: maxillary CN 5 C: ICA A: CN 6 T: CN 4",CN III,CN IV,CN V1,CN V2
